"1 ""TRAINING SET INDEX"	SMILES	NAME	MW	LogS(mols/L)	REFERENCE	GROUP						
"195 ""194"	F[C@]([C@H](O)C[C@](C)([C@H](CC[C@@](O)(C(=O)C)1)[C@H](C[C@H](C)C2=CC(=O)C=C[C@@](C)22)3)1)32	Fluoromethasone	376.51	-4.1	25	TRAIN						
"196 ""195"	FC(F)(F)c1cccc(c1)C([nH0]1[nH0]c[nH0]c1)(c1ccccc1)c1ccccc1	Fluotrimazole	379.41	-8.4	25	TRAIN						
"197 ""196"	FC(F)(F)c1cccc(c1)C1=CN(C)C=C(c2ccccc2)C1=O	Fluridone	329.34	-4.44	25	TRAIN						
"198 ""197"	ClC[C@H](CN(c1cccc(c1)C(F)(F)F)C(=O)[C@@H](Cl)1)1	Flurochloridone	312.13	-4.047	26	TRAIN						
"199 ""198"	Fc1ccc(cc1)[C@@](O)(C[nH0]1[nH0]c[nH0]c1)c1ccccc1F	Flutriafol	301.32	-3.37	25	TRAIN						
"200 ""199"	Clc1cc(ccc1N[C@@H](C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1)C(C)C)C(F)(F)F	Fluvalinate	502.95	-8.003	26	TRAIN						
"201 ""200"	O=C(Oc1cccc(N=CN(C)C)c1)NC	Formetanate	221.29	-2.34	25	TRAIN						
"202 ""201"	[S-][P](SCC(=O)N(C)C=O)(OC)OC	Formothion	257.3	-1.995	26	TRAIN						
"203 ""202"	O=C(O)c1cc(O)c(O)c(O)c1	Gallic acid	170.13	-1.16	25	TRAIN						
"204 ""203"	O=C1[C@@H](C=C(O)C=C[C@H](O[C@H](C=C(OC)C=C(O)[C@H]11)1)1)1	Gentisin	262.28	-2.943	26	TRAIN						
"205 ""204"	Clc1ccc2c([nH0]ccc2Nc2ccccc2C(=O)OC[C@H](O)CO)c1	Glafenine	372.83	-4.571	26	TRAIN						
"206 ""205"	OC[C@@H](O[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)1)1	Glucose	180.18	0.74	25	TRAIN206	O=C(O)CCCC(=O)O	Glutaric acid	132.13	1	25	TRAIN
"207 ""207"	Clc1ccc(OC)c(c1)C(=O)NCCc1ccc([S]([O-])([O-])NC(=O)NC2CCCCC2)cc1	Glyburide	494.06	-5.09	25	TRAIN						
"208 ""208"	s1c([nH0][nH0]c1C(C)(C)C)N[S]([O-])([O-])c1ccc(N)cc1	Glybuthiazole	312.46	-3.74	25	TRAIN						
"209 ""209"	O=C(O)CN	Glycine	75.07	0.473	24	TRAIN						
"210 ""210"	O=C(O)CNC(=O)CC[C@H](C)[C@@H](CC[C@H]([C@@H]([C@H](O)C[C@H](C[C@H](O)CC[C@](C)1([C@H](C[C@@H](O)[C@](C)23)4))1)4)2)3	Glycocholic acid	465.7	-5.15	25	TRAIN						
"211 ""211"	Clc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(F)cc1	Haloperidol	375.9	-4.43	25	TRAIN						
"212 ""212"	O=C1NC(=O)C(CC)(C2=CCCCCC2)C(=O)N1	Heptabarbital	250.33	-3	25	TRAIN						
"213 ""213"	ClC1=C(Cl)[C@@](Cl)([C@H]([C@H](C=C[C@H](Cl)2)[C@](Cl)1(C1(Cl)Cl))2)1	Heptachlor	373.3	-6.32	25	TRAIN						
"214 ""214"	ClC1=C(Cl)[C@@](Cl)([C@H]([C@@H](Cl)[C@@H](O[C@@H]2([C@H]3([C@](Cl)1(C1(Cl)Cl))))2)3)1	Heptachlor epoxide	389.3	-6.29	25	TRAIN						
"215 ""215"	O=C(OCCCCCCC)c1ccc(N)cc1	Heptyl-4-aminobenzoate	235.36	-4.6	25	TRAIN						
"216 ""216"	O=C1NC(=O)[C@@](C)(C(=O)N1C)C1=CCCCC1	Hexabarital	236.3	-2.74	25	TRAIN						
"217 ""217"	O=C(O)CNC(=O)c1ccccc1	Hippuric acid	179.19	-1.68	25	TRAIN						
"218 ""218"	O=C1O[C@@H](c2ccc(OC)c(OC)c21)[C@H](N(C)CCc1cc2OCOc2cc11)1	Hydrastine	383.43	-4.11	25	TRAIN						
"219 ""219"	N(Nc1ccccc1)c1ccccc1	Hydrazobenzene	184.26	-2.92	25	TRAIN						
"220 ""220"	O[C@H](c1ccccc1)[C@@H](O)c1ccccc1	Hydrobenzoin	214.28	-1.93	25	TRAIN						
"221 ""221"	Clc1cc2NCN[S]([O-])([O-])c2cc1[S]([O-])([O-])N	Hydrochlorthiazide	297.77	-2.62	25	TRAIN						
"222 ""222"	O[C@@H](c1cc[nH0]c2ccccc21)[C@H](N1CC[C@@H](C2)[C@@H](C1)CC)2	Hydrocinchonine	296.45	-2.63	25	TRAIN						
"223 ""223"	O=C(O)CCc1ccccc1	Hydrocinnamic acid	150.19	-1.41	25	TRAIN						
"224 ""224"	O=C1C=C2CC[C@H]([C@H](CC[C@@](O)(C(=O)COC(=O)C)[C@@](C)(C[C@@H](O)[C@@H]3([C@@](C)(CC1)2))1)1)3	Hydrocortisone acetate	404.51	-4.627	24	TRAIN						
"225 ""225"	O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C(=O)COC(=O)CC(C)(C)C)[C@](C)(C[C@@H](O)[C@@H]3([C@](C)(CC1)2))1)1)3	Hydrocortisone tebutate	460.67	-5.51	25	TRAIN						
"226 ""226"	Oc1ccc(O)cc1	Hydroquinone	110.11	-0.168	24	TRAIN						
"227 ""227"	O=C(N)NO	Hydroxyurea	76.07	1.12	25	TRAIN						
"228 ""228"	O=C(O)CC[C@H](C)[C@@H](CC[C@H]([C@@H]([C@H](O)[C@@H](O)[C@H](C[C@H](O)CC[C@](C)1([C@H](CC[C@](C)23)4))1)4)2)3	Hyocholic acid	408.64	-4.35	25	TRAIN						
"229 ""229"	O=C(OC1C[C@@H](N(C)[C@H](C1)CC1)1)[C@@H](CO)c1ccccc1	Hyoscyamine	289.41	-1.91	25	TRAIN						
"230 ""230"	O=C1NCNc2[nH0]c[nH]c21	Hypoxanthine	136.13	-2.296	26	TRAIN						
"231 ""231"	O=C(O)[C@@H](C)c1ccc(cc1)CC(C)C	Ibuprofen	206.31	-3.99	25	TRAIN						
"232 ""232"	Clc1ccc(cc1[S]([O-])([O-])N)C(=O)NN1c2ccccc2C[C@H]1(C)	Indapamide	365.87	-3.586	26	TRAIN						
"233 ""233"	[nH0]1[nH]c2ccccc2c1	Indazole	118.15	-2.16	25	TRAIN						
"234 ""234"	O=C1NCNc2[nH0](c[nH0]c21)[C@@H](O[C@H](CO)[C@H](O)[C@H](O)1)1	Inosine	268.26	-1.23	25	TRAIN						
"235 ""235"	Clc1[nH0]c([nH0]c([nH0]1)N(CC)CC)NC(C)C	Ipazine	243.78	-3.785	26	TRAIN						
"236 ""236"	Clc1[nH0]c(O[P]([S-])(OCC)OCC)[nH0][nH0]1C(C)C	Isazofos	313.78	-3.658	26	TRAIN						
"237 ""237"	O=C(NNCc1ccccc1)c1[nH0]oc(C)c1	Isocarboxazid	231.28	-2.461	26	TRAIN						
"238 ""238"	[S-][P@](OCC)(Oc1ccccc1C(=O)OC(C)C)NC(C)C	Isofenphos	345.44	-4.194	26	TRAIN						
"239 ""239"	O=C(N[C@@H](C[C@H](C[C@H]([C@@H](CCC[C@H]12)2)2)1)2)N(C)C	Isonoruron	222.37	-3.01	25	TRAIN						
"240 ""240"	O=C(Oc1ccccc1C(C)C)NC	Isoprocarb	193.27	-2.863	26	TRAIN						
"241 ""241"	O=[N]([O-])O[C@@H](CO[C@@H]([C@H](O[N](=O)[O-])CO[C@H]12)2)1	Isosorbidedinitrate	236.16	-2.63	25	TRAIN						
"242 ""242"	ClC12C(=O)C3(Cl)[C@@](Cl)([C@](Cl)1(C1(Cl)[C@](Cl)2([C@@](Cl)3(C2(Cl)C1(Cl)Cl))))2	Kepone	490.6	-5.259	26	TRAIN						
"243 ""243"	O=C(O)[C@H](N)Cc1ccc(O)cc1	L-tyrosine	181.19	-2.581	24	TRAIN						
"244 ""244"	O=C1NC=2CCCC=2C(=O)N1C1CCCCC1	Lenacil	234.33	-4.594	26	TRAIN						
"245 ""245"	O=C(Nc1c(C)cccc1C)CN(CC)CC	Lidocaine	234.38	-1.76	25	TRAIN						
"246 ""246"	Clc1ccc(NC(=O)N(OC)C)cc1Cl	Linuron	249.11	-3.52	25	TRAIN						
"247 ""247"	Clc1ccc2NC(=O)[C@H](O)N=C(c2c1)c1ccccc1Cl	Lorazepam	321.17	-3.6	25	TRAIN						
"248 ""248"	O=C1O[C@H](C[C@@H](O)C1)CC[C@@H]([C@@H](C)C=CC1=C[C@H](C)C[C@@H](OC(=O)[C@H](C)CC)[C@@H]11)1	Lovastatin	404.6	-6.005	26	TRAIN						
"249 ""249"	O=C1OC[C@@H](C=CC(OC)=C(OC)[C@@H]11)1	Meconin	196.22	-1.899	26	TRAIN						
"250 ""250"	O=[N]([O-])c1cc(c(OC(=O)C)c([N](=O)[O-])c1C)C(C)(C)C	Medinoterbacetate	296.31	-4.47	25	TRAIN						
"251 ""251"	O=C1C=C2C(C)=C[C@H]([C@@H](CC[C@@](C)(C(=O)C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	Medrogestone	340.55	-5.27	25	TRAIN						
"252 ""252"	s1c2ccccc2[nH0]c1OCC(=O)N(C)c1ccccc1	Mefenacet	298.39	-4.873	26	TRAIN						
"253 ""253"	[S]([O-])([O-])(Nc1cc(NC(=O)C)c(C)cc1C)C(F)(F)F	Mefluidide	310.33	-3.24	25	TRAIN						
"254 ""254"	O=C1C=C2C(C)=C[C@H]([C@@H](CC[C@](OC(=O)C)(C(=O)C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	Megestrol acetate	384.56	-5.35	25	TRAIN						
"255 ""255"	Fc1cccc(c1)C(=O)O	Meta-fluorobenzoic acid	140.12	-1.97	24	TRAIN						
"256 ""256"	O=C(N(c1c(C)cccc1C)[C@H](C)C(=O)OC)COC	Metalaxyl	279.37	-1.601	26	TRAIN						
"257 ""257"	Clc1ccc(N2OC(=O)N(C)C2=O)cc1Cl	Methazole	261.07	-2.82	25	TRAIN						
"258 ""258"	S(C)CC[C@@H](N)C(=O)O	Methionine	149.24	-0.42	25	TRAIN						
"259 ""259"	S(C)c1[nH0]c([nH0]c([nH0]1)NC(C)C)NCCCOC	Methoproptryne	271.44	-2.928	26	TRAIN						
"260 ""260"	ClC(Cl)(Cl)C(c1ccc(OC)cc1)c1ccc(OC)cc1	Methoxychlor	345.66	-6.89	25	TRAIN						
"261 ""261"	O=C(OC)c1cc(O)c(O)c(O)c1	Methyl gallate	184.16	-1.24	25	TRAIN						
"262 ""262"	O=C(OC)c1ccc(N)cc1	Methyl-4-aminobenzoate	151.18	-1.59	25	TRAIN						
"263 ""263"	O=C(OC)c1ccc(O)cc1	Methyl-4-hydroxybenzoate	152.16	-1.78	25	TRAIN						
"264 ""264"	O=C1C=C2CC[C@H]([C@@H](CC[C@](OC(=O)C)(C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	Methyltestosterone acetate	344.54	-5.284	26	TRAIN						
"265 ""265"	S=C1NC(=O)C=C(N1)C	Methylthiouracil	142.2	-2.436	26	TRAIN						
"266 ""266"	Clc1cc(c(OC)cc1N)C(=O)NCCN(CC)CC	Metoclopramide	299.84	-3.18	25	TRAIN						
"267 ""267"	Clc1cc2N[C@@H](N(C(=O)c2cc1[S]([O-])([O-])N)c1ccccc1C)C	Metolazone	365.87	-3.78	25	TRAIN						
"268 ""268"	Clc1cc(NC(=O)N(C)C)ccc1OC	Metoxuron	228.7	-2.564	26	TRAIN						
"269 ""269"	S(C)C1=NN=C(C(=O)N1N)C(C)(C)C	Metribuzin	214.33	-2.253	26	TRAIN						
"270 ""270"	[O-][nH0]1c(N)[nH0]c(N2CCCCC2)cc1N	Minoxidil	209.29	-1.98	25	TRAIN						
"271 ""271"	Clc1ccc(NC(=O)N(OC)C)cc1	Monolinuron	214.67	-2.57	25	TRAIN						
"272 ""272"	O=C(OC)c1ccccc1O[C@@H](O[C@H](CO[C@@H](OC[C@@H](O)[C@@H](O)[C@H](O)1)1)[C@@H](O)[C@@H](O)[C@H](O)1)1	Monotropitoside	446.45	-0.742	26	TRAIN						
"273 ""273"	Oc1ccc2C[C@@H](N(C)CC[C@](c2c1O[C@H]([C@H](O)C=C[C@H]12)3)32)1	Morphine	285.37	-3.28	25	TRAIN						
"274 ""274"	Br[C@H](O[P]([O-])(OC)OC)C(Br)(Cl)Cl	Naled	380.78	-2.28	26	TRAIN						
"275 ""275"	Oc1cccc2c(O)cccc12	Naphthalene-1,5-diol	160.18	-2.92	25	TRAIN						
"276 ""276"	O=C(N(CC)CC)[C@@H](Oc1cccc2ccccc12)C	Napropamide	271.39	-3.57	25	TRAIN						
"277 ""277"	O=C(O)[C@@H](C)c1ccc2cc(OC)ccc2c1	Naprosyn	230.28	-4.16	25	TRAIN						
"278 ""278"	Clc1ccc(NC(=O)N(C)CCCC)cc1Cl	Neburon	275.2	-4.77	25	TRAIN						
"279 ""279"	O=C1Nc2c([nH0]ccc2C)N(c2[nH0]cccc21)C1CC1	Nevirapine	266.33	-3.19	26	TRAIN						
"280 ""280"	Clc1ccc(O)c(c1)C(=O)Nc1ccc([N](=O)[O-])cc1Cl	Niclosamide	327.13	-4.7	25	TRAIN						
"281 ""281"	O=C(O)c1c[nH0]ccc1	Nicotinic acid	123.12	-0.84	25	TRAIN						
"282 ""282"	O=[N]([O-])c1ccccc1C1C(=C(NC(C)=C1C(=O)OC)C)C(=O)OC	Nifedipine	346.37	-4.76	26	TRAIN						
"283 ""283"	FC(F)(F)c1cccc(Nc2[nH0]cccc2C(=O)O)c1	Niflumic acid	282.24	-4.17	25	TRAIN						
"284 ""284"	O=[N]([O-])c1oc(cc1)C=NO	Nifuroxime	156.11	-2.19	25	TRAIN						
"285 ""285"	s1c([nH0]cc1[N](=O)[O-])N1CCNC1=O	Niridazole	214.23	-3.22	25	TRAIN						
"286 ""286"	O=[N]([O-])c1ccc2NC(=O)CN=C(c2c1)c1ccccc1	Nitrazepam	281.29	-3.8	25	TRAIN						
"287 ""287"	O=[N]([O-])c1oc(cc1)C=NN1CC(=O)NC1=O	Nitrofurantoin	238.18	-3.47	25	TRAIN						
"288 ""288"	O=[N]([O-])NC(=N)N	Nitroguanidine	104.09	-1.37	25	TRAIN						
"289 ""289"	O=C1NC(=O)[C@@H]([C@H](/C(=C(c2[nH0]cccc2)/c2ccccc2)/[C@H](C=C2[C@](O)(c3[nH0]cccc3)c3ccccc3)[C@H]11)2)1	Norbormide	511.61	-3.931	26	TRAIN						
"290 ""290"	O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C#C)[C@](C)(CC[C@@H]3([C@](O)(CC1)2))1)1)3	Norethisterone	314.46	-4.57	26	TRAIN						
"291 ""291"	ClC=1C(=O)N(N=CC=1NC)c1cccc(c1)C(F)(F)F	Norflurazon	303.69	-4.04	25	TRAIN						
"292 ""292"	O=C1O[C@@H](c2ccc(OC)c(OC)c21)[C@H](N(C)CCc1cc2OCOc2c(OC)c11)1	Noscapine	413.46	-3.14	25	TRAIN						
"293 ""293"	Clc1ccc(cc1)C(c1ccccc1Cl)=C(Cl)Cl	O,p'-DDE	318.02	-6.36	25	TRAIN						
"294 ""294"	Fc1ccccc1C(=O)O	Ortho-fluorobenzoic acid	140.12	-1.289	24	TRAIN						
"295 ""295"	[S]([O-])([O-])(N)c1cc([N](=O)[O-])c(N(CCC)CCC)c([N](=O)[O-])c1	Oryzalin	346.41	-5.16	25	TRAIN						
"296 ""296"	O=C1Oc2c(C=C1)ccc(OC)c2CC=C(C)C	Osthole	244.31	-4.31	25	TRAIN						
"297 ""297"	S(C)C(=NOC(=O)NC)C(=O)N(C)C	Oxamyl	219.3	0.106	26	TRAIN						
"298 ""298"	[S]1([O-])([O-])CCOC(C)=C1C(=O)Nc1ccccc1	Oxycarboxin	267.33	-2.43	25	TRAIN						
"299 ""299"	Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl	P,p?-DDT	354.48	-7.15	25	TRAIN						
"300 ""300"	O=C(O)CCCCCCCCCCCCCCC	Palmitic acid	256.48	-6.81	25	TRAIN						
"301 ""301"	[S-][P](OC)(OC)Oc1ccc([N](=O)[O-])cc1	Parathion methyl	263.23	-3.68	25	TRAIN						
"302 ""302"	Clc1ccc(cc1)CN(C(=O)Nc1ccccc1)C1CCCC1	Pencycuron	328.87	-5.915	26	TRAIN						
"303 ""303"	Clc1cc(Cl)c(Cl)c(Cl)c1Cl	Pentachlorobenzene	250.32	-5.65	25	TRAIN						
"304 ""304"	Clc1c(Cl)c(Cl)c(O)c(Cl)c1Cl	Pentachlorophenol	266.32	-4.28	25	TRAIN						
"305 ""305"	Cc1cc(C)c(C)c(C)c1C	Pentamethylbenzene	148.27	-4	25	TRAIN						
"306 ""306"	O=C1NC(=O)C(CC)(C(=O)N1)[C@H](C)CCC	Pentobarbital	226.31	-2.52	25	TRAIN						
"307 ""307"	O=C(OCCCCC)c1ccc(N)cc1	Pentyl-4-aminobenzoate	207.3	-3.26	25	TRAIN						
"308 ""308"	[S]([O-])([O-])(c1ccccc1)c1ccc(N[S]([O-])([O-])C(F)(F)F)c(C)c1	Perfluidone	379.41	-3.8	25	TRAIN						
"309 ""309"	S1c2ccccc2N(CCCN2CCC(O)CC2)c2cc(C#N)ccc12	Pericyazine	365.54	-3.98	25	TRAIN						
"310 ""310"	c1cc2cccc3c4cccc5cccc(c(c1)c23)c54	Perylene	252.32	-8.8	25	TRAIN						
"311 ""311"	O=C(Nc1ccc(OCC)cc1)C	Phenacetin	179.24	-2.37	25	TRAIN						
"312 ""312"	c1ccc2c(c1)ccc1ccccc12	Phenantherene	178.24	-5.26	25	TRAIN						
"313 ""313"	[nH0]1cc2ccccc2c2ccccc12	Phenanthridine	179.23	-2.78	25	TRAIN						
"314 ""314"	[S]([O-])([O-])(NC(=O)NCCCC)c1ccccc1	Phenbutamide	256.36	-3.05	25	TRAIN						
"315 ""315"	O=C1OC(c2ccccc21)(c1ccc(O)cc1)c1ccc(O)cc1	Phenolphthalein	318.34	-2.9	25	TRAIN						
"316 ""316"	O=C(O)Cc1ccccc1	Phenylacetic acid	136.16	-0.89	25	TRAIN						
"317 ""317"	O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccccc1	Phenylbutazone	308.41	-3.81	25	TRAIN						
"318 ""318"	ONc1ccccc1	Phenylhydroxylamine	109.14	-0.74	25	TRAIN						
"319 ""319"	O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1	Phenytoin	252.29	-4.097	26	TRAIN						
"320 ""320"	Clc1ccc2N(CS[P]([S-])(OCC)OCC)C(=O)Oc2c1	Phosalone	367.84	-5.233	26	TRAIN						
"321 ""321"	[S-][P](ON=C(C#N)c1ccccc1)(OCC)OCC	Phoxim	298.33	-4.862	26	TRAIN						
"322 ""322"	O=C(N)c1ccccc1C(=O)N	Phthalamide	164.18	-2.92	25	TRAIN						
"323 ""323"	O=C1OC(=O)c2ccccc21	Phthalic anhydride	148.12	-1.39	25	TRAIN						
"324 ""324"	O=C1NC(=O)c2ccccc21	Phthalimide	147.14	-2.61	25	TRAIN						
"325 ""325"	c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21	Picene	278.36	-7.87	26	TRAIN						
"326 ""326"	O=[N]([O-])c1cc([N](=O)[O-])c(O)c([N](=O)[O-])c1	Picric acid	229.11	-1.255	24	TRAIN						
"327 ""327"	O=C1c2ccccc2C(=O)C1C(=O)C(C)(C)C	Pindone	230.28	-4.11	25	TRAIN						
"328 ""328"	O=C(N1CCCCC1)/C=CC=C/c1ccc2OCOc2c1	Piperine	285.37	-3.46	25	TRAIN						
"329 ""329"	[S-][P](SCC(=O)N1CCCC[C@H]1(C))(OCCC)OCCC	Piperophos	353.54	-4.15	26	TRAIN						
"330 ""330"	O=C(Oc1[nH0]c([nH0]c(C)c1C)N(C)C)N(C)C	Pirimicarb	238.33	-1.95	25	TRAIN						
"331 ""331"	[S]1([O-])([O-])N(C)C(=C(O)c2ccccc12)C(=O)Nc1[nH0]cccc1	Piroxicam	331.38	-4.16	25	TRAIN						
"332 ""332"	O=C1C=C[C@@](C)(C(=C1)CC[C@H]([C@@H](CC[C@@](O)(C(=O)CO)[C@](C)(C[C@@H](O)[C@@H]12)3)3)1)2	Prednisolone	360.49	-3.21	25	TRAIN						
"333 ""333"	O=C1C=C[C@@](C)(C(=C1)CC[C@H]([C@@H](CC[C@@](O)(C(=O)COC(=O)C(C)(C)C)[C@](C)(C[C@@H](O)[C@@H]12)3)3)1)2	Prednisolone-21-Trimethylacetate	444.62	-4.58	25	TRAIN						
"334 ""334"	O=C(OCCN(CC)CC)c1ccc(N)cc1	Procaine	236.35	-1.4	25	TRAIN						
"335 ""335"	Clc1ccc2Sc3ccccc3N(CCCN3CCN(C)CC3)c2c1	Prochlorperazine	373.99	-4.4	25	TRAIN						
"336 ""336"	O=C1C=C2CC[C@H]([C@@H](CC[C@H](C(=O)C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3	Progesterone	314.51	-4.43	25	TRAIN						
"337 ""337"	S1c2ccccc2N(C[C@@H](N(C)C)C)c2ccccc12	Promethazine	284.46	-4.26	25	TRAIN						
"338 ""338"	S(C)c1[nH0]c([nH0]c([nH0]1)NC(C)C)NC(C)C	Prometryn	241.41	-4.1	26	TRAIN						
"339 ""339"	ClCC(=O)N(c1ccccc1)C(C)C	Propachlor	211.71	-2.48	25	TRAIN						
"340 ""340"	[S-][P@](OC)(O/C(/C)=C/C(=O)OC(C)C)NCC	Propetamphos	281.35	-3.408	26	TRAIN						
"341 ""341"	O=C(OCCC)c1cc(O)c(O)c(O)c1	Propyl gallate	212.22	-1.78	25	TRAIN						
"342 ""342"	O=C(OCCC)c1ccc(N)cc1	Propyl-p-aminobenzoate	179.22	-2.541	24	TRAIN						
"343 ""343"	O=C(O)c1ccc(O)cc1CCC	PropylParaben	180.21	-2.635	24	TRAIN						
"344 ""344"	S=C1NC(=O)C=C(N1)CCC	Propylthiouracil	170.26	-2.15	25	TRAIN						
"345 ""345"	O=C1C[C@@H](O)[C@@H](/C=C[C@H](O)CCCCC)[C@H](C/C=CCCCC(=O)O)1	Prostaglandin E2	352.52	-2.47	25	TRAIN						
"346 ""346"	ClC=1C(=O)N(N=CC=1N)c1ccccc1	Pyrazon	221.66	-2.87	25	TRAIN						
"347 ""347"	c1cc2ccc3cccc4ccc(c1)c2c34	Pyrene	202.26	-6.19	25	TRAIN						
"348 ""348"	O=C(Oc1[nH0]([nH0]c(C)c1)c1ccccc1)N(C)C	Pyrolan	245.31	-2.09	25	TRAIN						
"349 ""349"	O=C(O)CNC(=N)N	Quanidinoacetic acid	117.13	-1.51	25	TRAIN						
"350 ""350"	Clc1cc2N[C@H](NC(=O)c2cc1[S]([O-])([O-])N)CC	Quinethazone	289.77	-3.29	25	TRAIN						
"351 ""351"	O=C1C=CC(O)(C=C1)c1cc(O)ccc1O	Quinhydrone	218.22	-1.73	25	TRAIN						
"352 ""352"	O[C@@H](c1cc[nH0]c2ccc(OC)cc21)[C@H](N1CC[C@@H](C2)[C@H](C=C)C1)2	Quinidine	324.46	-3.37	25	TRAIN						
"353 ""353"	ClC=1C(=O)c2ccccc2C(=O)C=1NC(=O)C(Cl)Cl	Quinonamid	318.54	-5.03	25	TRAIN						
"354 ""354"	Clc1c(Cl)c(Cl)c([N](=O)[O-])c(Cl)c1Cl	Quintozene	295.32	-5.82	25	TRAIN						
"355 ""355"	O=C1N(C)c2ccccc2Oc2[nH0]cccc21	RTI 10	226.25	-3.672	26	TRAIN						
"356 ""356"	O=C1N(C)c2cc(N)ccc2Oc2ccc(C)cc21	RTI 11	254.31	-3.928	26	TRAIN						
"357 ""357"	Clc1[nH0]c2N(CC)c3[nH0]cccc3C(=O)N(C)c2cc1	RTI 12	288.76	-4.114	26	TRAIN						
"358 ""358"	O=C1Nc2c([nH0]c(C)cc2C)N(CC)c2[nH0]cccc21	RTI 15	268.35	-4.554	26	TRAIN						
"359 ""359"	S=C1N(C)c2ccc[nH0]c2N(CC)c2[nH0]cccc21	RTI 16	270.39	-4.634	26	TRAIN						
"360 ""360"	S=C1N(C)c2ccccc2N(CC)c2[nH0]cccc21	RTI 17	269.4	-4.706	26	TRAIN						
"361 ""361"	O=C1N(C)c2ccccc2N(CC)c2ccccc21	RTI 19	252.34	-4.749	26	TRAIN						
"362 ""362"	O=C1N(CC)c2ccc[nH0]c2N(CC)c2[nH0]cccc21	RTI 2	268.35	-2.86	26	TRAIN						
"363 ""363"	FCCN1c2ccccc2Cc2ccccc2C1=O	RTI 20	255.31	-4.799	26	TRAIN						
"364 ""364"	O=C1Nc2c(N(CC)c3[nH0]cccc31)cc(N(C)C)cc2C	RTI 22	296.41	-4.871	26	TRAIN						
"365 ""365"	O=C1Nc2c(N(CC)c3[nH0]cccc31)cc(OC)cc2C	RTI 23	283.36	-5.153	26	TRAIN						
"366 ""366"	O=C1N(C)c2ccc(C)cc2Oc2[nH0]cc(N)cc21	RTI 3	255.3	-3.043	26	TRAIN						
"367 ""367"	O=C1N(C)c2ccccc2N(CC)c2[nH0]cccc21	RTI 5	253.33	-3.324	26	TRAIN						
"368 ""368"	O=C1Nc2ccc([nH0]c2N(CC)c2[nH0]cccc21)N(C)CCO	RTI 6	313.4	-3.36	26	TRAIN						
"369 ""369"	O=C1N(CC)c2ccccc2Oc2ccccc21	RTI 9	239.29	-3.68	26	TRAIN						
"370 ""370"	O=C1NC(=O)C(CC)(C2=C[C@H](CC[C@@H](C2)C2)2)C(=O)N1	Reposal	262.34	-2.64	25	TRAIN						
"371 ""371"	O=C1N(C)c2ccc[nH0]c2N(CC)c2[nH0]cccc21	Reverse transcriptase inhibitor1	254.32	-2.62	26	TRAIN						
"372 ""372"	Clc1cc(Cl)c(O[P]([S-])(OC)OC)cc1Cl	Ronnel	321.55	-5.72	25	TRAIN						
"373 ""373"	O=C1c2ccc3O[C@@H](Cc3c2O[C@H](COc2cc(OC)c(OC)cc2[C@H]11)1)C(=C)C	Rotenone	394.45	-4.42	25	TRAIN						
"374 ""374"	Clc1cc(Cl)cc(N2C(=O)N(CC2=O)C(=O)NC(C)C)c1	Rovral	330.19	-4.376	26	TRAIN						
"375 ""375"	O=C(O)[C@H](N)Cc1ccccc1	S-phenylalanine	165.19	-0.781	24	TRAIN						
"376 ""376"	OCc1cc(ccc1O)[C@H](O)CNC(C)(C)C	Salbutamol	239.35	-1.22	25	TRAIN						
"377 ""377"	OCc1ccccc1O[C@@H](O[C@H](CO)[C@@H](O)[C@@H](O)[C@H](O)1)1	Salicin	286.31	-0.85	25	TRAIN						
"378 ""378"	OCc1ccccc1O	Salicyl alcohol	124.15	-0.29	25	TRAIN						
"379 ""379"	O=C(Nc1ccccc1)c1ccccc1O	Salicylanilide	213.25	-3.59	25	TRAIN						
"380 ""380"	O=C(O)c1ccccc1O	Salicylic acid	138.13	-1.82	25	TRAIN						
"381 ""381"	O=C1C=C[C@@](C)(CC[C@H]([C@@H](OC(=O)[C@H](C)2)C3=C1C)2)3	Santonin	246.33	-3.09	25	TRAIN						
"382 ""382"	ClC(Cl)(Cl)[C@H](NC=O)N1C=CN(C=C1)[C@H](NC=O)C(Cl)(Cl)Cl	Saprol	430.94	-4.19	26	TRAIN						
"383 ""383"	O=C1NC(=O)C(CC=C)(C(=O)N1)[C@@H](C)CCC	Secobarbital	238.32	-2.356	26	TRAIN						
"384 ""384"	O=C(O)[C@H](N)CO	Serine	105.09	0.452	24	TRAIN						
"385 ""385"	O=C(Nc1ccccc1)N[C@H](CCCC[C@@H](C)1)1	Siduron	232.36	-4.11	25	TRAIN						
